dataset,mineral_or_proxy,data_type,spatial_resolution,coverage,key_values,source,in_folder,confidence,role_in_simulation
"OCAMS global pan basemap (PolyCam)","imagery / morphologic context","raster mosaic","5 cm/px, mean spatial accuracy ~30 cm","global (90S-90N, 0-360E)","photometrically normalized (Minnaert phase-angle correction)","Bennett et al. 2021, Icarus 357, 113690","yes (paper)","high","base layer; co-registration of all mineral proxies"
"Global normal albedo mosaic","albedo (material/boulder proxy)","raster mosaic","6.25 cm/px","near-global (to ~50 deg lat in places)","median albedo 0.046","Golish et al. 2021; cited in Jawin et al. 2023; PDS Derived Image Processing Bundle","cited (data external)","high","first-order proxy for material units / bright material"
"OLA relative albedo (1064 nm)","relative albedo (surface property proxy)","raster map","0.8 m GSD (median-filtered, 0.6 m radius)","global where range <=750 m and emission <45 deg","normalized so distribution matches OCAMS albedo; not a true albedo","Barnouin et al. 2022, PSJ 3, 75","yes (paper)","medium-high","fills dark/tilted terrain where imaging albedo is weak"
"OLA global/local DTMs (GDTM, LDTM, SPO-LDTM)","topography / roughness","raster DTM","12-0.8 m (GDTM); 0.2 m (LDTM); 0.05-0.01 m (SPO)","global + local","radial uncertainty ~0.15 m; OLA range precision ~1 cm","Barnouin et al. 2022; Daly et al. 2020; Barnouin et al. 2020","yes (paper)","high","slope/tilt/hazard gating; grain-size context"
"Boulder type map (Type A-D)","boulder class = albedo + morphology + roughness","vector / classified map","boulders >=2 m","Nightingale region","389 boulders (308 with albedo); albedo A 0.045+/-0.002, B 0.047+/-0.002, C 0.055+/-0.004, D 0.054+/-0.004; nu(10 cm) A 7.5, B 5.2, C 3.9, D 4.6 cm","Jawin et al. 2023, JGR Planets 128, e2023JE008019","yes (paper)","high","categorical mineral-facies proxy at metre scale"
"Boulder size-frequency distribution","grain/boulder size","curve","from 0.01 m/px images","4 candidate sites","power-law index -3.0+/-0.2 to -2.3+/-0.1; Nightingale -2.2+/-0.1, Osprey -2.7+/-0.6","Burke et al. 2021, Remote Sensing 13, 1315","yes (paper)","high","size sorting / regolith mixing control"
"Carbonate bright spots (""veins"")","carbonate evidence (qualitative)","point/vector + boulder imagery","boulder-scale (PolyCam)","global boulders; concentrated in bright boulders","bright-spot normal albedo 10-19%; host boulders 6-7.6%; spectrally linked to carbonates","Kaplan et al. 2020 (cited and quantified in Jawin et al. 2023)","cited (primary paper not in folder)","medium","the only carbonate spatial indicator available from imagery"
"MapCam 4-colour index maps","700 nm absorption index (phyllosilicate proxy), b'/v, v/x, turn-off point","raster colour-index map","global colour basemaps; local colour maps at 14 cm (3.5 cm/px)","global + 4 candidate sites","filters b' 473, v 550, w 698, x 847 nm; panchromatic 489-817 nm","DellaGiustina et al. 2018, Earth & Space Science (preprint in folder)","yes (paper)","medium-high","fine-scale mineral proxy to be calibrated against OVIRS"
"1064 nm extrapolated basemap","albedo/colour at 1064 nm","raster map","x-band mosaic + OVIRS ratio","global","MapCam x-band (847 nm) combined with OVIRS 860-1064 nm ratio","DellaGiustina et al. 2018","yes (paper)","medium","demonstrates imagery+spectrometer fusion (template for sharpening)"
"Thermal inertia","thermal/physical property (grain size, porosity)","map / scalar","OTES+OVIRS diurnal curves (footprint-limited)","global","350+/-20 J m-2 K-1 s-1/2 at arrival; 310+/-70 disk-averaged pre-arrival","Walsh et al. 2022, Space Sci. Rev. 218, 20 (citing Rozitis et al. 2020; Emery et al. 2014)","yes (paper)","medium-high","grain-size/porosity prior for radiative-transfer models"
"Geologic unit / feature map","geologic units, ridges, craters","vector / classified map","derived from 5 cm basemap + DTMs","global regional; local for Nightingale","Rugged Unit vs Smooth Unit; N-S ridges at ~0 and ~90 deg longitude; Hokioi crater 20 m, host crater 120 m","Barnouin et al. 2022; Jawin et al. 2022 (cited)","yes (paper)","high","spatial prior for facies-based mineral mapping"
"Regolith mechanical properties","cohesion, friction angle","scalar","site scale","Nightingale sample site","cohesion ~0.6 Pa; friction angle from 32 deg","Barnouin et al. 2022","yes (paper)","medium-high","mixing/geotechnical constraints for synthetic fields"
"Expected/returned sample mineralogy","phyllosilicates, magnetite, carbonates, sulfides, organics","bulk modal (non-spatial)","single sample (~one site)","Nightingale (returned 2023)","aqueously altered CI/CM-like assemblage: hydrated Mg-rich phyllosilicates, magnetite, carbonates, organic matter","Barnouin et al. 2022 (expectation); OSIRIS-REx sample papers (external)","partly (expectation only)","medium","the only true modal ground truth; cannot validate a global map"
"OVIRS VNIR spectra (0.4-4.3 um)","hydration 2.7 um band, carbonate/organic bands","spectral cube","point spectrometer; footprint >= tens of m","global, multiple phases","raw product needed for any quantitative mineral retrieval","Reuter et al. 2018 (instrument); PDS OVIRS bundle (external)","no - must download","high (once downloaded)","primary quantitative input for Tier-2 unmixing"
"OTES thermal-IR spectra (5-50 um)","silicate/carbonate reststrahlen emissivity","spectral cube","footprint tens-hundreds of m","global, 7 local solar times","needed for mineralogy independent of VNIR","Christensen et al. 2018; PDS OTES bundle (external)","no - must download","high (once downloaded)","independent check on VNIR-derived abundances"
"Hamilton et al. 2019 hydrated-mineral map","2.7 um OH/H2O band depth and centre","raster map","OVIRS-derived, coarse","global","widely cited as the reference hydration map for Bennu; numeric values must be verified against the primary paper","Hamilton et al. 2019, Nature Astronomy 3, 332 (external)","no - must download / verify","high","benchmark for the phyllosilicate (hydration) layer"
"Bennu shape model + SPICE kernels","geometry / projection","3D + kernels","75 cm shape model","global","required for any map projection and incidence/emission geometry","NASA PDS / OSIRIS-REx mission (external)","no - must download","high","geometric backbone for simulation"
"Ryugu NIRS3 2.7 um band maps (analogue)","band depth and band centre maps","raster map","~tens of m","global (7 candidate sites)","NIRS3 produced 3 um band depth, 3 um band centre, spectral slope, NIR albedo maps","Yabuta et al. 2019, LPSC 50, #2304","yes (paper)","high","methodological template for a ""mineral map"" product"
